abanico,1,0,1
abatido,0,1,0
abdalah,0,0,2
abdicar,0,1,0
abdomen,0,1,0
abierta,2,0,5
abierto,0,2,5
abogado,2,0,0
abonare,0,0,1
abrazar,0,1,0
abrazos,1,0,1
abrevia,0,0,1
abriera,0,1,0
abriras,0,0,1
abrirla,0,1,1
abrirlo,0,0,1
abrirse,0,2,1
absorbi,0,0,1
absorto,1,0,0
absurdo,1,2,0
abuelos,1,0,0
abundan,0,0,1
abusado,0,1,0
acababa,4,6,4
acabado,1,1,2
acabais,0,0,1
acabara,1,4,2
acabare,0,1,0
acabase,1,0,1
acarreo,0,0,1
acceder,0,2,0
accesos,0,0,2
aceptan,0,0,1
aceptar,1,0,2
acequia,6,0,0
acerque,0,0,1
acierta,0,1,0
acierto,0,1,0
acogian,0,1,0
acogida,0,0,7
acogido,0,0,1
acolito,1,0,0
acomete,0,1,0
acosado,1,0,0
actitud,1,17,0
actores,0,1,0
acudian,3,2,0
acudire,0,0,1
acuerda,1,2,0
acuerde,0,1,1
acuerdo,0,2,1
acuesta,0,0,1
adentro,5,0,1
adivina,1,0,3
adivino,1,2,0
admirar,0,0,1
admiten,1,0,0
adoptar,0,4,0
adoraba,2,1,0
adorada,0,4,0
adorado,0,1,1
adornar,0,0,1
adornos,1,2,0
aduanas,1,1,0
aduares,0,0,1
adverti,0,0,5
afectos,0,1,0
aficion,1,5,1
afilado,0,0,1
afinado,0,0,2
afirmar,1,1,0
afirmas,0,0,2
afligia,0,0,1
afligio,0,0,2
afluian,1,0,1
afsanah,0,0,1
afueras,8,0,0
agallas,2,0,0
agentes,0,7,0
agitaba,1,2,0
agitada,1,0,0
agitado,0,2,0
agonice,0,1,0
agotado,0,0,2
agradar,0,1,0
agresor,1,0,0
aguante,2,0,0
aguarda,0,1,1
aguarde,0,0,1
aguardo,0,1,2
aguijon,0,1,0
ahogada,1,0,0
ahogado,1,0,1
ahorcar,0,1,1
ahorque,0,2,0
ahorros,2,0,0
ahumada,1,0,0
aislado,0,1,0
ajedrez,0,0,1
ajorcas,0,0,1
ajustar,1,1,0
aknamus,0,0,2
alabada,0,1,0
alabado,0,1,3
aladino,0,0,1
alameda,0,1,0
alarcon,0,0,1
alargue,0,0,1
alarido,1,0,0
alberga,0,1,1
alcalde,7,1,0
alcance,1,1,2
alcanza,0,2,0
alcanzo,0,0,1
alcazar,1,2,0
alcohol,0,1,0
alegaba,0,1,0
alegres,5,3,1
alegria,1,15,22
alejaba,1,0,1
alejado,0,1,2
alejale,0,0,1
alejara,0,1,0
alfanje,0,0,11
alfonso,0,1,0
alfredo,0,0,1
algodon,1,0,0
alguien,9,5,9
algunas,7,23,8
algunos,19,34,11
aliados,0,0,1
alianza,0,2,0
aliento,1,0,1
alimaña,1,0,0
alisate,0,0,1
almacen,0,1,0
almansa,0,2,0
alnadim,0,0,1
alnahar,0,0,1
alneman,0,0,2
alquilo,0,0,1
altares,1,0,0
alteran,0,1,0
altivez,1,1,0
alturas,2,2,0
alvarez,0,14,0
alzaman,0,0,2
alzando,0,0,1
amables,0,2,1
amantes,0,4,1
amargas,0,0,1
amargos,0,0,1
amasado,1,0,0
amenaza,3,2,2
america,1,2,3
amigosy,0,1,0
amigote,1,0,0
amistad,0,2,3
amodijo,0,1,0
amorios,1,0,0
amorosa,0,7,0
amoroso,0,2,1
amplias,0,1,1
amplios,1,0,0
anchura,0,1,1
anciana,0,0,3
anciano,1,1,16
andaban,1,1,0
andamio,2,0,0
andando,1,0,7
andante,1,0,0
andaria,0,1,0
andrajo,0,1,0
angeles,1,0,0
angosta,1,2,0
angosto,1,0,0
angulos,1,0,0
anhelar,0,0,1
anhelos,0,0,1
anillos,0,0,2
animaba,1,2,0
animada,0,1,0
animado,3,0,0
animoso,0,0,2
anonado,1,0,0
anonimo,1,0,1
anormal,0,2,0
anotaba,0,1,0
anotado,0,1,0
ansiaba,3,3,0
ansiada,0,2,0
ansiado,0,1,0
ansiosa,2,0,0
ansioso,0,1,0
antigua,2,8,8
antiguo,3,17,4
antonio,27,68,0
anuncia,0,1,0
anuncie,0,1,1
anuncio,0,3,2
anzuelo,4,1,0
apagada,0,1,0
apagado,0,1,0
apalear,1,0,0
aparece,0,1,2
aparejo,5,0,0
apartar,1,0,1
apearse,0,1,0
apenado,0,0,1
aplacar,0,1,0
aplasta,0,0,1
aplaude,0,0,1
apodado,1,0,0
apodera,0,0,1
apodere,0,0,1
apodero,0,3,3
apostol,0,2,0
apoyaba,0,1,0
apoyada,0,1,0
apoyado,2,0,1
apoyase,0,0,1
aprecia,0,1,1
aprenda,0,0,1
aprendi,0,0,2
aprieta,1,0,0
apuesta,0,0,1
apuesto,0,1,2
